BusinessName,isWomenOwned,OwnershipType,DiverseType,LeaderName,Designation
"Park Avenue Building & Roofing Supplies, LLC",0,HISPANIC,MBE,BOB GROENINGER,CHIEF EXECUTIVE OFFICER
"Park Avenue Building & Roofing Supplies, LLC",0,HISPANIC,MBE,RAYMOND RIVERA,PRESIDENT
"Great Performances/Artists As Waitresses, Inc.",1,NON-MINORITY,WBE,DEAN MARTINUS P,PRESIDENT
"Great Performances/Artists As Waitresses, Inc.",1,NON-MINORITY,WBE,LIZBETH NEUMARK,CEO
"Upstate Rebar, LLC",1,NON-MINORITY,WBE,BONNIE CHMIELOWIEC,MANAGING MEMBER
"V3gate, LLC",0,HISPANIC,MBE,OSCAR T VALDEZ JR,CHIEF EXECUTIVE OFFICER
"V3gate, LLC",0,HISPANIC,MBE,TAD RZONCA PRESID,DENT
"Montana Datacom, Inc.",1,NON-MINORITY,WBE,JENNIFER MUHLRAD,PRESIDENT
"Montana Datacom, Inc.",1,NON-MINORITY,WBE,STEVEN MEYERSON , CHIEF FINANCIAL OFFICER
Ergonomic Group Inc.,1,NON-MINORITY,WBE,KAREN GIRARDS,CHB
Ergonomic Group Inc.,1,NON-MINORITY,WBE,SAYLE ROBERTS,CHIEF FINANCIAL OFFICER
"22nd Century Technologies, Inc.",0,ASIAN,MBE,SATVINDER SINGH,PRES
"Liftforward, Inc.",0,BLACK,MBE,JEFFREY ROGERS,CEO
"Corporate Computer Solutions, Inc.",1,NON-MINORITY,WBE,ANN MARTINO,PRESIDENT
"Prwt Services, Inc.",0,BLACK,MBE,DON PELOSO C,CHIEF FINANCIAL OFFICER
"Prwt Services, Inc.",0,BLACK,MBE,MALIK MAJEED,CEO
"Talson Solutions, LLC",0,BLACK,MBE,ROBERT S BRIGHT,MANAGING MEMBER
"Northeast Remsco Construction, Inc.",0,HISPANIC,MBE,JUAN GUTIERREZ,CHM
"Northeast Remsco Construction, Inc.",0,HISPANIC,MBE,ROLANDO ACOSTA,PRESIDENT
"Mvp Consulting Plus, Inc.",0,ASIAN,MWBE,ILAKUMARI N PATEL,CHIEF EXECUTIVE OFFICER
"Mvp Consulting Plus, Inc.",0,ASIAN,MWBE,STEPHEN MILLER PR,RESIDENT
"Crystal Window & Door Systems, Ltd.",0,ASIAN,MBE,STEVE CHEN , PRESIDENT
"Crystal Window & Door Systems, Ltd.",0,ASIAN,MBE,THOMAS CHEN,PRES-CEO
Eteam Inc.,0,ASIAN,MBE,BEN THAKUR,PRESCEO
Eteam Inc.,0,ASIAN,MBE,JAG BALAKRIS,SHNAN CHIEF FINANCIAL OFFICER
"World Wide Technology, Inc.",0,BLACK,MBE,JAMES P KAVANAUGH,CEO
"World Wide Technology, Inc.",0,BLACK,MBE,JOSEPH KOENIG PRE,ESIDENT
Adco Electrical Corp.,1,NON-MINORITY,WBE,CAMILLE CALV,VONI PRESIDENT
Adco Electrical Corp.,1,NON-MINORITY,WBE,GINA ADDEO,CHB-PRES
Powercon Corporation,1,NON-MINORITY,WBE,RALPH SIEGEL,CHIEF EXECUTIVE OFFICER
"Savin Engineers, P.C.",0,ASIAN,MBE,R SRINIVASARAGHAVAN,PRES-CHB
"Diversant, LLC",0,BLACK,MBE,GENE WADDY,CEO-MNG MBR
"Diversant, LLC",0,BLACK,MBE,NEIL HARRIS , CHIEF FINANCIAL OFFICER
Shi International Corp.,0,ASIAN,MWBE,PAUL NG , CHIEF FINANCIAL OFFICER
Shi International Corp.,0,ASIAN,MWBE,THAI LEE,CEO
"Cornell & Company, Inc.",1,NON-MINORITY,WBE,DELOR CORNELL,PRES
"Cornell & Company, Inc.",1,NON-MINORITY,WBE,KEVIN BROCKWAY , CHIEF FINANCIAL OFFICER
"Moody-Nolan, Inc.",0,BLACK,MBE,CURTIS J MOODY,CEO
"Moody-Nolan, Inc.",0,BLACK,MBE,ROBERT LARIMER,TREASURER
"Saturn Business Systems, Inc.",0,HISPANIC,MBE,ALAN KRIEGER , PRESIDENT
"Saturn Business Systems, Inc.",0,HISPANIC,MBE,ANA KRIEGER,CHIEF EXECUTIVE OFFICER
"Arbill Industries, Inc.",1,NON-MINORITY,WBE,BARRY BICKMAN , TREASURER
"Arbill Industries, Inc.",1,NON-MINORITY,WBE,JULIE COPELAND,PRES
"TTI of Usa, Inc.",1,NON-MINORITY,WBE,LISA K RIZZUTO,PRESIDENT
"Neutral Posture, Inc.",1,NON-MINORITY,WBE,BRIAN RUTHERFORD , PRESIDENT
"Neutral Posture, Inc.",1,NON-MINORITY,WBE,REBECCA E BOENIGK,CHAIRMAN OF THE BOARD
Complete Spiral Manufacturing Inc.,1,NON-MINORITY,WBE,KAREN VASSALLO,PRESIDENT
